[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1595 | Type=45163 | Level=120 | Size=12143
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=650 | Type=31033 | Level=1 | Size=12853
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1636 | Type=45166 | Level=120 | Size=13929
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=840 | Type=32014 | Level=44 | Size=12175
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1159 | Type=33001 | Level=120 | Size=13509
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=859 | Type=31020 | Level=65 | Size=12936
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=992 | Type=33069 | Level=120 | Size=14000
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1136 | Type=31001 | Level=120 | Size=12000
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1076 | Type=31012 | Level=120 | Size=14000
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=955 | Type=31014 | Level=66 | Size=12914
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=793 | Type=31049 | Level=61 | Size=12608
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=561 | Type=33070 | Level=1 | Size=12943
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1185 | Type=31007 | Level=120 | Size=14000
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1076 | Type=31012 | Level=120 | Size=14000
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1090 | Type=31019 | Level=120 | Size=14000
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1875 | Type=43005 | Level=120 | Size=14000
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=940 | Type=33084 | Level=70 | Size=12600
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1032 | Type=31034 | Level=66 | Size=12586
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1088 | Type=31138 | Level=120 | Size=12143
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=937 | Type=41033 | Level=1 | Size=12632
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=937 | Type=31011 | Level=65 | Size=12647
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1023 | Type=31028 | Level=65 | Size=12500
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=2060 | Type=45165 | Level=120 | Size=13716
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=759 | Type=31050 | Level=1 | Size=12980
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=806 | Type=21134 | Level=70 | Size=12500
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1071 | Type=31066 | Level=120 | Size=13900
[02:58:55] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1185 | Type=33080 | Level=120 | Size=14000
